playerid,lahmanID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,namefirst,namelast,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,BBrefMiLBid,DraftValue,Fastball,Changeup,Curve,Slider,Sinker,Splitter,Forkball,Cutter,Knuckleball,KnuckleCurve,CircleChange,Screwball,pexp,cexp,1bexp,2bexp,ssexp,3bexp,lfexp,cfexp,rfexp,infrange,inferror,infarm,infdp,cability,carm,ofrange,oferror,ofarm,Ethnicity,Arm Slot,대학,고교
31811,1811,,,1975,5,5,South Korea,,Seoul,,,,,,,Jung-soo,Sim,,,Hercules,182,71,R,R,1994,2008,,,,,,41811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,동대문상고
40103,10103,,,1982,10,2,South Korea,,Busan,,,,,,,Geun-woo,Jeong,,,Devil,172,67,R,R,2005,2020,Korea University,,,,,50103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,고려,부산고
40251,10251,,,1982,6,21,South Korea,,Busan,,,,,,,Dae-ho,Lee,,,Big Boy,194,76,R,R,2001,2022,,,,,,50251,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,경남고
31499,1499,,,1972,9,28,South Korea,,Gwangju,,,,,,,Hyun-woo,Hong,,,Maitreya,180,70,R,R,1990,2005,,,,,,41499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,광주상고
40559,10559,,,1981,11,25,South Korea,,Daegu,,,,,,,Beom-ho,Lee,,,,183,72,R,R,2000,2019,,,,,,50559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,대구고
40470,10470,,,1986,7,10,South Korea,,Seongnam,,,,,,,Byung-ho,Park,,,Park Bang,185,72,R,R,2005,2024,,,,,,50470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,성남고
40322,10322,,,1985,6,22,South Korea,,Daegu,,,,,,,Sok-min,Park,,,,178,70,R,R,2004,2024,Daegu Cyber University,,,,,50322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,대구사이버,대구고
41162,11162,,,1989,10,3,South Korea,,Gwangju,,,,,,,Sung-beom,Na,,,Star,183,72,L,L,2012,2024,Yonsei University,,,,,51162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,연세,진흥고
40035,10035,,,1985,8,26,South Korea,,Seoul,,,,,,,Yong-gyu,Lee,,,,170,66,L,L,2004,2024,,,,,,50035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,덕수정보고
40491,10491,,,1974,10,25,South Korea,,Seoul,,,,,,,Byeong-kyu,Lee,,,Ra Bang,185,72,L,L,1997,2016,Dankook University,,,,,50491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,단국,장충고
40323,10323,,,1976,11,30,South Korea,,Incheon,,,,,,,Jin-man,Park,,,,178,70,R,R,1996,2015,Kyonggi University,,,,,50323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,경기,인천고
40492,10492,,,1980,6,15,South Korea,,Gunsan,,,,,,,Jin-young,Lee,,,,185,72,L,L,1999,2018,,,,,,50492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,군산상고
40412,10412,,,1973,3,2,South Korea,,Incheon,,,,,,,Ji-man,Song,,,Golden Eagle,178,70,R,R,1996,2014,Inha University,,,,,50412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,인하,동산고
31783,1783,,,1971,5,25,South Korea,,Seoul,,,,,,,Ji-hyun,Ryu,,,,176,69,R,R,1994,2004,Hanyang University,,,,,41783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,한양,충암고
31142,1142,,,1956,7,6,South Korea,,Daegu,,,,,,,Hyo-jo,Jang,,,Master of Batting,175,68,L,L,1983,1992,Hanyang University,,,,,41142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,한양,대구상고
40479,10479,,,1980,6,27,South Korea,,Gwangju,,,,,,,Seong-hun,Jeong,,,,182,71,R,R,1999,2018,,,,,,50479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,광주제일고
31144,1144,,,1960,7,8,South Korea,,Daejeon,,,,,,,Dae-hwa,Han,,,Fixer,176,69,R,R,1983,1997,Dongguk University,,,,,41144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,동국,대전고
41137,11137,,,1993,2,6,South Korea,,Seoul,,,,,,,Min-woo,Park,,,,185,72,L,R,2013,2024,,,,,,51137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,휘문고
40407,10407,,,1987,7,28,South Korea,,Suwon,,,,,,,Jae-gyun,Hwang,,,,183,72,R,R,2007,2024,Yeungnam Cyber University,,,,,50407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,영남사이버,경기고
40014,10014,,,1990,7,2,South Korea,,Seoul,,,,,,,Chi-hong,An,,,,178,70,R,R,2009,2024,,,,,,50014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,서울고
31203,1203,,,1961,3,9,South Korea,,Gongju,,,,,,,Gwang-lim,Kim,,,,173,68,L,L,1984,1999,Korea University,,,,,41203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,고려,공주고
40008,10008,,,1989,12,18,South Korea,,Hwasun,,,,,,,Sun-bin,Kim,,,Little Giant,165,64,R,R,2008,2024,,,,,,50008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,화순고
